exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Barbell Deadlift Bent Row Complex,Strength,Middle Back,Beginner,,,,,,,,,,,
Single-Arm Landmine Row,Strength,Middle Back,Beginner,,,,,,,,,,,
TBS T-Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
TBS Deficit Deadlift,Strength,Middle Back,Intermediate,,,,,,,,,,,
Bent-Over Barbell Row - Gethin Variation,Strength,Middle Back,Intermediate,,,,,,,,,,,
Barbell bent-over row,Strength,Middle Back,Intermediate,,,,,,,,,,,
UN Barbell Rack Pull,Strength,Middle Back,Intermediate,,,,,,,,,,,
UN Barbell Scrape The Rack,Strength,Middle Back,Intermediate,,,,,,,,,,,
Barbell deadlift bent-over row complex,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Barbell Deadlift,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Bent-Over Barbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back T-Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Underhand Bent-Over Barbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Kettlebell alternating renegade row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Alternating Kettlebell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Two-Arm Kettlebell Row,Strength,Middle Back,Beginner,,,,,,,,,,,
Kettlebell bent-over row to clean,Strength,Middle Back,Intermediate,,,,,,,,,,,
UP Deficit Kettlebell Stiff-Legged Deadlift,Strength,Middle Back,Intermediate,,,,,,,,,,,
FYR2 Dagger-Grip Double-Kettlebell Gorilla Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
FYR2 Double-Kettlebell Swing Clean,Strength,Middle Back,Intermediate,,,,,,,,,,,
Single-arm kettlebell row-,Strength,Middle Back,Intermediate,,,,,,,,,,,
FYR2 Ascending-Rep Swing-Squat Complex,Strength,Middle Back,Intermediate,,,,,,,,,,,
One-Arm Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Incline dumbbell row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Bent Over Two-Dumbbell Row With Palms In,Strength,Middle Back,Beginner,,,,,,,,,,,
Man-maker,Strength,Middle Back,Intermediate,,,,,,,,,,,
Dumbbell bent-over row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Middle Back Shrug,Strength,Middle Back,Beginner,,,,,,,,,,,
Dumbbell pull-over to skullcrusher,Strength,Middle Back,Intermediate,,,,,,,,,,,
Dumbbell Fix Single-Arm Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
